
INSERT INTO Doctor (name, city, email, phone_number, speciality) VALUES 
('Dr. sambit', 'Delhi', 'sambit@example.com', '1234567890', 'ORTHOPEDIC'),
('Dr. ojha', 'Noida', 'ojha@example.com', '1234567891', 'GYNECOLOGY'),
('Dr. Preshita', 'Faridabad', 'Preshita@example.com', '1234567892', 'DERMATOLOGY'),
('Dr. swaika', 'Delhi', 'swaika@example.com', '1234567893', 'ENT'),
('Dr. Anu', 'Noida', 'Anu@example.com', '1234567894', 'ORTHOPEDIC'),
('Dr. ritika', 'Faridabad', 'ritika@example.com', '1234567895', 'GYNECOLOGY'),
('Dr. Geng', 'Delhi', 'geng@example.com', '1234567896', 'DERMATOLOGY'),
('Dr. Ravi', 'Noida', 'Ravi@example.com', '1234567897', 'ENT'),
('Dr. satya', 'Faridabad', 'satya@example.com', '1234567898', 'ORTHOPEDIC'),
('Dr. pawan', 'Delhi', 'Pawan@example.com', '1234567899', 'GYNECOLOGY'),
('Dr. shishir', 'Noida', 'shishgir@example.com', '1234567800', 'DERMATOLOGY'),
('Dr. sunir', 'Faridabad', 'sunir@example.com', '1234567801', 'ENT'),
('Dr. A. Smith', 'Delhi', 'asmith@example.com', '1234567890', 'ORTHOPEDIC'),
('Dr. B. Johnson', 'Noida', 'bjohnson@example.com', '1234567891', 'GYNECOLOGY'),
('Dr. C. Williams', 'Faridabad', 'cwilliams@example.com', '1234567892', 'DERMATOLOGY'),
('Dr. D. Brown', 'Delhi', 'dbrown@example.com', '1234567893', 'ENT'),
('Dr. E. Jones', 'Noida', 'ejones@example.com', '1234567894', 'ORTHOPEDIC'),
('Dr. F. Garcia', 'Faridabad', 'fgarcia@example.com', '1234567895', 'GYNECOLOGY'),
('Dr. G. Martinez', 'Delhi', 'gmartinez@example.com', '1234567896', 'DERMATOLOGY'),
('Dr. H. Rodriguez', 'Noida', 'hrodriguez@example.com', '1234567897', 'ENT'),
('Dr. I. Wilson', 'Faridabad', 'iwilson@example.com', '1234567898', 'ORTHOPEDIC'),
('Dr. J. Martinez', 'Delhi', 'jmartinez@example.com', '1234567899', 'GYNECOLOGY'),
('Dr. K. Anderson', 'Noida', 'kanderson@example.com', '1234567800', 'DERMATOLOGY'),
('Dr. L. Thomas', 'Faridabad', 'lthomas@example.com', '1234567801', 'ENT'),
('Dr. M. Jackson', 'Delhi', 'mjackson1@example.com', '1234567802', 'ORTHOPEDIC'),
('Dr. N. White', 'Noida', 'nwhite1@example.com', '1234567803', 'GYNECOLOGY'),
('Dr. O. Harris', 'Faridabad', 'oharris1@example.com', '1234567804', 'DERMATOLOGY'),
('Dr. P. Martin', 'Delhi', 'pmartin1@example.com', '1234567805', 'ENT'),
('Dr. Q. Thompson', 'Noida', 'qthompson1@example.com', '1234567806', 'ORTHOPEDIC'),
('Dr. R. Martinez', 'Faridabad', 'rmartinez1@example.com', '1234567807', 'GYNECOLOGY'),
('Dr. S. Anderson', 'Delhi', 'sanderson1@example.com', '1234567808', 'DERMATOLOGY'),
('Dr. T. Lewis', 'Noida', 'tlewis1@example.com', '1234567809', 'ENT'),
('Dr. U. Walker', 'Faridabad', 'uwalker1@example.com', '1234567810', 'ORTHOPEDIC'),
('Dr. V. Hall', 'Delhi', 'vhall1@example.com', '1234567811', 'GYNECOLOGY'),
('Dr. W. Allen', 'Noida', 'wallen1@example.com', '1234567812', 'DERMATOLOGY'),
('Dr. X. Young', 'Faridabad', 'xyoung1@example.com', '1234567813', 'ENT'),
('Dr. Y. King', 'Delhi', 'yking1@example.com', '1234567814', 'ORTHOPEDIC'),
('Dr. Z. Scott', 'Noida', 'zscott1@example.com', '1234567815', 'GYNECOLOGY'),
('Dr. AA. Green', 'Faridabad', 'aagreen1@example.com', '1234567816', 'DERMATOLOGY'),
('Dr. AB. Adams', 'Delhi', 'abadams1@example.com', '1234567817', 'ENT'),
('Dr. AC. Baker', 'Noida', 'acbaker1@example.com', '1234567818', 'ORTHOPEDIC'),
('Dr. AD. Carter', 'Faridabad', 'adcarter1@example.com', '1234567819', 'GYNECOLOGY'),
('Dr. AE. Collins', 'Delhi', 'aecollins1@example.com', '1234567820', 'DERMATOLOGY'),
('Dr. AF. Cox', 'Noida', 'afcox1@example.com', '1234567821', 'ENT'),
('Dr. AG. Davis', 'Faridabad', 'agdavis1@example.com', '1234567822', 'ORTHOPEDIC'),
('Dr. AH. Edwards', 'Delhi', 'ahedwards1@example.com', '1234567823', 'GYNECOLOGY'),
('Dr. AI. Evans', 'Noida', 'aievans1@example.com', '1234567824', 'DERMATOLOGY'),
('Dr. AJ. Flores', 'Faridabad', 'ajflores1@example.com', '1234567825', 'ENT'),
('Dr. AK. Foster', 'Delhi', 'akfoster1@example.com', '1234567826', 'ORTHOPEDIC'),
('Dr. AL. Garcia', 'Noida', 'algarcia1@example.com', '1234567827', 'GYNECOLOGY'),
('Dr. AM. Gonzalez', 'Faridabad', 'amgonzalez1@example.com', '1234567828', 'DERMATOLOGY'),
('Dr. AN. Griffin', 'Delhi', 'angriffin1@example.com', '1234567829', 'ENT'),
('Dr. AO. Harris', 'Noida', 'aoharris1@example.com', '1234567830', 'ORTHOPEDIC'),
